pontos turisticos,pais,descrição,lugar
Manarola,Italia,"Manarola é um distrito da comuna de Riomaggiore, na província de la Spezia . É uma das localidades que constituem as famosas Cinque Terre, um dos trechos de maior atração turística da Riviera da Ligúria.",Cinque Terre
Vernazza,Italia,"Vernazza é uma comuna italiana da região da Ligúria, Província da Spezia, com cerca de 1.060 habitantes. Estende-se por uma área de 12 km², tendo uma densidade populacional de 88 hab/km². Faz fronteira com Beverino, Monterosso al Mare, Pignone, Riccò del Golfo di Spezia, Riomaggiore.
É uma das localidades que compõem as famosas Cinque Terre.",Cinque Terre
Torre de Pisa,Italia,"A torre inclinada de Pisa, ou simplesmente Torre de Pisa, é um campanário da catedral da cidade italiana de Pisa. Está situada atrás da catedral, e é a terceira mais antiga estrutura na praça da Catedral de Pisa, depois da catedral e do baptistério.",Pisa
Palatino,Italia,"O Monte Palatino é a mais central das sete colinas de Roma, que tem participação na sua fundação. É alí que a cidade de Rômulo teria começado a ser edificada.",Roma
Fórum Romano de Roma,Italia,"O Fórum Romano era um espaço público no centro de Roma, onde aconteciam encontros políticos, eleições, debates e outras funções da cidade.

Caminhando pelo Fórum você também conhecerá outras construções históricas, como o Arco do Tito, a Basílica Giulia e o Templo de Saturno.",Roma
Arco de Constantino,Italia,"O Arco de Constantino é um monumento construído em homenagem a vitória do imperador Constantino I sobre Maxêncio na Batalha da Ponte Mílvia no ano 312.
A construção do Constantino é diferenciada, pois utilizou partes de outros monumentos, homenageado também os vencedores Trajano, Marco Aurélio e Adriano.",Roma
Mausoléu de Adriano (Castelo de Santo Ângelo),Italia,"O Mausoléu de Adriano foi construído em uma área periférica de Roma e assumiu sua função até 403 d.C. Logo após veio a ser proteção militar e residência de nobres e papas.
O Mausoléu passou a se chamar Castelo de Santo Ângelo por causa da aparição do Arcanjo São Miguel no topo do castelo, vista pelo Papa Gregório I, indicando o fim de uma epidemia.",Roma
Panteão (Pantheon de Roma),Italia,"O Panteão de Roma é um templo dedicado a todos os deuses romanos. Lá estão enterrados grandes homens, como os reis Vittorio Emanuele II e Umberto I.",Roma
Mercado de Trajano,Italia,"O Mercado de Trajano foi o primeiro centro comercial coberto do mundo. Apesar de ser menos conhecido do que o Coliseu, o mercado conserva grande parte do seu aspecto original.
Construído no século II d.C., o complexo monumental contava com 6 andares e mais de 150 estabelecimentos comerciais.",Roma
Monumento Vittoriano,Italia,"O imponente Monumento Nazionale a Vittorio Emanuele II ou apenas Vittoriano é uma homenagem ao rei Vittorio Emanuele II, considerado pai da pátria italiana.
Desenhado por Giuseppe Sacconi, em 1885, atualmente é um museu importante para a cidade de Roma.",Roma
Basilica di San Marco,Italia,"A Basílica de São Marcos é a principal igreja da cidade. Construída em meados do século IX, é ali que descansa o corpo de São Marcos, um dos quatro evangelistas da crença cristã.",Veneza
Torre dell’Orologio,Italia,"A Torre dell’Orologio, ou Torre do Relógio, é uma construção de mais de 500 anos de idade que marca as horas e os signos do zodíaco.
A famosa estátua de Leão, símbolo de São Marcos, fica no topo da torre, bem como algumas esculturas e um sino.",Veneza
Teatro alla Scala,Italia,"O Teatro alla Scala foi construído por determinação da imperatriz Maria Teresa da Áustria, para substituir o Teatro Regio Ducale, destruído por um incêndio em 1776, devendo seu nome à igreja de Santa Maria alla Scala que antes se erguia no local.",Milão
Batistério de Pisa,Italia,"Batistério de Pisa, localizado bem próximo a torre inclinada. O Batistério, juntamente da Torre de Pisa, a Catedral de Pisa e o Camposanto Monumentale, forma o que é chamado de complexo arquitetônico da Praça dos Milagres, declarado Patrimônio da Humanidade pela renomada UNESCO.",Pisa
Igreja Santa Maria della Spina,Italia,"Situada bem ao lado do Rio Arno. Além de reservar um grande contexto histórico e cultural, ela abriga importantes obras de arte de grandes artistas da Itália e do mundo. O nome dela tem origem de uma coroa de espinho de Cristo que foi levada até lá ainda no início de sua construção, mas por motivos de segurança teve que ser deslocada para a igreja de Santa Chiara.",Pisa
Catedral de Pisa,Italia,"Localizada no complexo arquitetônico da Praça dos Milagres, ela é uma verdadeira preciosidade da cidade, repleta de afrescos e muita preocupação com cada detalhe. O mais legal da região é que por cada monumento contar com um belo jardim nas redondezas muitos turistas aproveitam para dar uma relaxada e descansada por ali mesmo, em meio a um atmosfera incrível de uma das cidades mais magníficas da Itália.",Pisa
